Larissa 	Bela Vista 		Milk and Bread
Humberto	Liberdade 		Dipyrone
Gustavo		Groelandia 		Rice and Meat
Karina		Butantã			Pasta, poop oil and garnishes
Giovani		Carandiru 		Rice, beans and oil 
Bruno		Brasilândia 	Crumbs and eggs
Marco		JD Keralux 		Fish,soda and fruits
kleber		Jardins			Throat medicine
Ulisses		Santana			Tomato, onion, limon and apple
Barbara		Cambucci		Remedy for colic
Daiti		Vila císper		Minced meat
João		Saúde			Water and Juice
Vinicius	Carapicuiba		Toilet paper, towel paper
Raquel		Vila Olimpia	Salads and chicken
Sônia		Cidade Jardim	Pregnacy test
